읍면동명,목적지명,도로명주소,카테고리,구분,순위
화개면,화개장터,경남 하동군 쌍계로 17-0,시장,현지인,1
화개면,쌍계사,경남 하동군 쌍계사길 59-0,종교성지,현지인,2
화개면,하동야생차박물관,경남 하동군 쌍계로 571-25,전시시설,현지인,3
화개면,칠불사,경남 하동군 범왕길 528-0,종교성지,현지인,4
화개면,차시배지,경남 하동군,기타관광,현지인,5
화개면,상선암,경남 하동군 영당2길 97-0,종교성지,현지인,5
화개면,보문정사,경남 하동군 화개로 946-46,종교성지,현지인,5
화개면,수정사,경남 하동군 부춘길 385-18,종교성지,현지인,8
화개면,하동활공장,경남 하동군 신촌도심길 595-24,항공레저스포츠,현지인,8
화개면,화개종합버스터미널,경남 하동군 화개로 18-4,교통시설,현지인,8
화개면,화개장터,경남 하동군 쌍계로 17-0,시장,외지인,1
화개면,쌍계사,경남 하동군 쌍계사길 59-0,종교성지,외지인,2
화개면,하동야생차박물관,경남 하동군 쌍계로 571-25,전시시설,외지인,3
화개면,칠불사,경남 하동군 범왕길 528-0,종교성지,외지인,4
화개면,하동활공장,경남 하동군 신촌도심길 595-24,항공레저스포츠,외지인,5
화개면,하동쌍계사사천왕상,경남 하동군 쌍계사길 59-0,역사유적지,외지인,5
화개면,화개종합버스터미널,경남 하동군 화개로 18-4,교통시설,외지인,7
화개면,하동십리벚꽃길,경남 하동군,데이트코스,외지인,8
화개면,정금차밭,경남 하동군,기타관광,외지인,9
화개면,수정사,경남 하동군 부춘길 385-18,종교성지,외지인,10
화개면,휴심사,경남 하동군 화랑수길 11-6,종교성지,외지인,11
화개면,쌍계사대웅전,경남 하동군 쌍계사길 59-0,역사유적지,외지인,12
화개면,형제봉,경남 하동군,기타관광,외지인,13
화개면,하동야생차밭,경남 하동군 쌍계로 571-25,기타관광,외지인,13
화개면,차시배지,경남 하동군,기타관광,외지인,15
화개면,쌍계명차박물관,경남 하동군 화개로 30-0,전시시설,외지인,15
화개면,보문정사,경남 하동군 화개로 946-46,종교성지,외지인,15
화개면,상선암,경남 하동군 영당2길 97-0,종교성지,외지인,18
화개면,흔적문화갤러리,경남 하동군 화개로 473-0,전시시설,외지인,18
화개면,국사암,경남 하동군 목압길 104-0,종교성지,외지인,20
화개면,지통사,경남 하동군 부춘길 320-47,종교성지,외지인,20
화개면,미륵선원,경남 하동군 신촌도심길 595-28,종교성지,외지인,20
화개면,화개장터,경남 하동군 쌍계로 17-0,시장,전체,1
화개면,쌍계사,경남 하동군 쌍계사길 59-0,종교성지,전체,2
화개면,하동야생차박물관,경남 하동군 쌍계로 571-25,전시시설,전체,3
화개면,칠불사,경남 하동군 범왕길 528-0,종교성지,전체,4
화개면,하동활공장,경남 하동군 신촌도심길 595-24,항공레저스포츠,전체,5
화개면,하동쌍계사사천왕상,경남 하동군 쌍계사길 59-0,역사유적지,전체,6
화개면,화개종합버스터미널,경남 하동군 화개로 18-4,교통시설,전체,7
화개면,하동십리벚꽃길,경남 하동군,데이트코스,전체,8
화개면,정금차밭,경남 하동군,기타관광,전체,9
화개면,수정사,경남 하동군 부춘길 385-18,종교성지,전체,10
화개면,휴심사,경남 하동군 화랑수길 11-6,종교성지,전체,11
화개면,쌍계사대웅전,경남 하동군 쌍계사길 59-0,역사유적지,전체,12
화개면,형제봉,경남 하동군,기타관광,전체,13
화개면,하동야생차밭,경남 하동군 쌍계로 571-25,기타관광,전체,13
화개면,차시배지,경남 하동군,기타관광,전체,15
화개면,보문정사,경남 하동군 화개로 946-46,종교성지,전체,15
화개면,쌍계명차박물관,경남 하동군 화개로 30-0,전시시설,전체,17
화개면,상선암,경남 하동군 영당2길 97-0,종교성지,전체,18
화개면,흔적문화갤러리,경남 하동군 화개로 473-0,전시시설,전체,19
화개면,국사암,경남 하동군 목압길 104-0,종교성지,전체,20
화개면,지통사,경남 하동군 부춘길 320-47,종교성지,전체,20
화개면,미륵선원,경남 하동군 신촌도심길 595-28,종교성지,전체,20
